year,Casualties,Latitude,Longitude
2013,8,39.54231335,-90.33029852
2013,5,47.3129607,-122.3393665
2013,5,47.30909721,-122.3357553
2013,7,43.045601,-74.984891
2013,7,43.0104011,-75.0075119
2013,7,33.54961059,-117.6415707
2013,6,33.67803464,-117.773628
2013,4,33.57145875,-112.0904854
2013,5,35.15290522,-106.7791378
2012,30,41.4123225,-73.31142358
2012,30,41.41190846,-73.31196267
2012,4,45.44853107,-122.5440133
2012,8,43.06396691,-88.12299758
2012,15,25.79653943,-80.20840397
2012,8,44.9772995,-93.2654692
2012,9,44.96358722,-93.26783687
2012,10,42.8858503,-87.8631362
2012,11,42.88027442,-87.90087079
2012,82,39.709283,-104.823488
2012,70,39.72941874,-104.9825207
2012,6,32.60598014,-85.48989253
2012,7,47.62199575,-122.323646
2012,7,47.6038321,-122.3300624
2012,5,36.13543238,-95.91316117
2012,10,37.8043808,-122.2708166
2012,10,37.79176806,-122.2153171
2012,6,41.58025541,-81.20812625
2012,5,33.9412127,-84.2135309
2012,5,33.94104379,-84.20985979
2012,5,33.5282865,-86.79550448
2011,9,33.741176,-118.1046356
2011,9,33.75432632,-118.0715378
2011,12,39.1637984,-119.7674034
2011,12,39.16464203,-119.7763025
2011,10,42.96920434,-85.66008902
2011,4,32.66240106,-85.37706931
2011,12,41.09933958,-80.64631705
2011,19,32.2217429,-110.926479
2011,19,32.15358905,-110.9677647
2010,11,41.7759324,-72.5214755
2010,11,41.78013821,-72.51918655
2010,3,34.72827538,-86.6723055
2009,5,47.155846,-122.437031
2009,5,47.16267579,-122.5296574
2009,43,31.2011305,-97.77156996
2009,45,31.13814354,-97.77797804
2009,18,42.0986867,-75.9179738
2009,18,42.10140103,-75.90922294
2009,11,35.345802,-79.4170543
2009,7,37.36463172,-121.9679315
2009,10,35.33985609,-79.41381725
2009,17,31.04367594,-85.8763466
2008,12,34.09026669,-117.8819958
2008,1,35.08130744,-92.43278275
2008,3,33.57145875,-112.0904854
2008,7,37.76721,-87.5573742
2008,8,37.84040411,-87.57853755
2008,26,41.9294736,-88.7503647
2008,23,41.93172129,-88.74814853
2008,8,38.5833862,-90.406785
2008,8,38.57889169,-90.42023754
2007,6,47.64628742,-121.9088524
2007,6,36.18931923,-115.3264875
2007,10,39.81087474,-105.173715
2007,13,41.2587317,-95.9378732
2007,13,41.265922,-96.05381421
2007,4,43.41929117,-83.95032759
2007,5,41.47657557,-81.68051502
2007,7,45.5719072,-88.9028922
2007,8,45.56871416,-88.89729022
2007,55,37.2295733,-80.4139393
2007,50,37.22995471,-80.42768677
2007,10,45.50216511,-122.4412759
2007,10,40.7606467,-111.89109
2007,10,40.77787404,-111.9312168
2006,11,39.9589,-76.0806
2006,11,40.04214385,-76.30100872
2006,5,40.43948548,-79.97631581
2006,3,36.04099857,-79.09701201
2006,4,44.49022039,-73.11400628
2006,9,47.6229,-122.3165
2006,9,47.62199575,-122.323646
2006,8,34.436283,-119.8714406
2006,8,34.43606107,-119.8593619
2005,15,47.876346,-95.0169401
2005,15,47.87067289,-95.00529009
2005,11,43.0605671,-88.1064787
2005,12,43.06396691,-88.12299758
2005,7,32.3154272,-95.30501087
2004,12,39.9622601,-83.0007065
2004,12,39.98861445,-82.98904135
2004,8,45.65773714,-91.55077175
2003,7,41.83928045,-87.68818145
2003,15,32.376081,-88.68978002
2003,15,32.38455246,-88.68967949
2003,3,41.47657557,-81.68051502
2002,4,32.15358905,-110.9677647
2002,6,37.27537712,-82.09877234
2001,15,32.86357277,-117.1281628
2001,9,41.9005865,-87.8567277
2001,10,41.90289602,-87.8643021
2000,7,42.506484,-71.0728306
2000,7,42.30904091,-71.10271358
1999,8,27.9477595,-82.458444
1999,8,27.99601861,-82.44503769
1999,4,35.77669911,-95.25996596
1999,7,21.3255125,-157.8473055
1999,7,21.309106,-157.844998
1999,15,32.693397,-97.47067092
1999,15,32.74802142,-97.31305148
1999,22,33.7490987,-84.3901849
1999,22,33.7629969,-84.4231328
1999,6,33.66086267,-84.02688527
1999,37,39.6021065,-104.9877273
1999,39,39.59358263,-105.0152112
1998,6,33.93814348,-117.3948409
1998,29,44.0462362,-123.0220289
1998,29,44.05489698,-123.0075562
1998,4,41.87617136,-80.12459632
1998,15,35.8209895,-90.6682606
1998,15,35.82083155,-90.67950058
1998,6,41.6856325,-72.72983827
1998,5,41.68700845,-72.73083927
1997,4,43.06420322,-87.96724385
1997,7,33.7877944,-117.8531119
1997,7,33.78935598,-117.820412
1997,8,37.08506,-88.74422
1997,9,32.27492783,-90.09470655
1997,7,33.5598586,-81.721952
1997,7,33.47524551,-81.72595949
1997,4,60.79053882,-161.7927517
1996,3,32.86357277,-117.1281628
1996,7,26.1223084,-80.1433786
1996,7,26.11737018,-80.14865708
1996,4,47.12189424,-119.2750699
1995,3,35.37810374,-87.00610559
1995,6,27.823713,-97.41739794
1995,6,27.73907518,-97.43073352
1995,5,40.826184,-74.20862
1995,4,35.92681467,-79.03850407
1994,7,42.32427392,-71.14080012
1994,4,41.60713735,-81.46902046
1994,28,47.61864486,-117.6483587
1994,28,47.618456,-117.644099
1994,4,38.95130818,-84.67066339
1993,3,42.31319376,-84.01868108
1993,5,39.754713,-104.835869
1993,5,39.69892933,-104.7871863
1993,25,40.7267682,-73.6342955
1993,25,40.72662266,-73.644712
1993,5,44.79051074,-106.9599165
1993,12,35.0529931,-78.8787058
1993,12,35.07997086,-79.03796125
1993,4,41.2281367,-111.9675317
1993,15,37.7789601,-122.419199
1993,15,37.75457839,-122.4424343
1993,4,42.31269522,-83.21293244
1993,6,33.47316083,-117.696399
1992,6,42.19358268,-73.36216339
1992,5,42.3810555,-76.8705777
1992,5,42.38013875,-76.86724659
1992,6,35.18322484,-101.8805688
1992,14,39.07868761,-121.5475762
1992,14,39.08174985,-121.5549539
1991,10,42.4894801,-83.1446485
1991,10,42.50840203,-83.15387427
1991,7,41.6606893,-91.5302214
1991,7,41.65589405,-91.53117986
1991,44,31.1171194,-97.7277959
1991,44,31.07925506,-97.73392317
1991,3,40.98213277,-74.11264731
1991,9,33.57145875,-112.0904854
1990,14,30.3321838,-81.655651
1990,18,30.33216122,-81.67576993
1989,21,38.2542376,-85.759407
1989,21,38.249432,-85.726243
1989,5,33.13439925,-117.0722528
1989,35,37.9577016,-121.2907796
1989,36,37.96631812,-121.3018775
1988,4,30.0687242,-89.93147412
1988,11,34.1928952,-82.15355508
1988,7,41.83928045,-87.68818145
1988,9,42.10648807,-87.74211141
1988,11,37.3688301,-122.0363496
1988,11,37.38344257,-122.0256185
1988,3,27.84887061,-82.71058
1987,20,28.0331886,-80.6429695
1987,20,27.98388983,-80.66662713
1986,4,47.03740653,-109.4844918
1986,21,35.6672015,-97.42937037
1986,21,35.66889223,-97.41438792
1986,5,40.679276,-73.939513
1985,3,33.7629969,-84.4231328
1985,4,37.67129418,-97.55070476
1984,41,32.5520013,-117.0430813
1984,41,32.555556,-117.047656
1984,7,32.7801052,-96.8000082
1984,7,32.79480596,-96.76631094
1984,15,34.17622092,-118.5399542
1983,4,33.83272887,-81.8051584
1983,14,47.62199575,-122.323646
1982,11,25.796491,-80.226683
1982,12,25.79653943,-80.20840397
1982,3,36.18931923,-115.3264875
1979,7,34.05098834,-80.82077527
1979,11,32.86357277,-117.1281628
1976,9,33.88404244,-117.92785
1976,8,34.17622092,-118.5399542
1974,10,42.08185369,-78.43213922
1974,4,41.83928045,-87.68818145
1972,23,30.0687242,-89.93147412
1971,6,47.67367375,-117.4159843
1966,6,33.42268696,-111.8163202
1966,49,30.1988873,-97.84415949
