year,state,totals
2018,Vermont,2313
2018,Virgin Islands,138
2018,Virginia,32931
2018,Washington,41040
2018,West Virginia,13136
2018,Wisconsin,26598
2018,Wyoming,4118
2018,Alabama,32572
2018,Alaska,6330
2018,Arizona,28041
2018,Arkansas,18809
2018,California,99683
2018,Colorado,38395
2018,Connecticut,14440
2018,Delaware,3211
2018,District of Columbia,259
2018,Florida,88991
2018,Georgia,35963
2018,Guam,146
2018,Hawaii,1170
2018,Idaho,15401
2018,Illinois,225006
2018,Indiana,74423
2018,Iowa,10904
2018,Kansas,11501
2018,Kentucky,411606
2018,Louisiana,22339
2018,Maine,6156
2018,Mariana Islands,17
2018,Maryland,10333
2018,Massachusetts,15930
2018,Michigan,33308
2018,Minnesota,38204
2018,Mississippi,15858
2018,Missouri,32616
2018,Montana,8746
2018,Nebraska,4418
2018,Nevada,9442
2018,New Hampshire,8511
2018,New Jersey,7413
2018,New Mexico,11259
2018,New York,23921
2018,North Carolina,37350
2018,North Dakota,4124
2018,Ohio,47756
2018,Oklahoma,22471
2018,Oregon,26685
2018,Pennsylvania,71106
2018,Puerto Rico,2522
2018,Rhode Island,1685
2018,South Carolina,18597
2018,South Dakota,5779
2018,Tennessee,47938
2018,Texas,108008
2018,Utah,29176
2018,Vermont,2725
2018,Virgin Islands,116
2018,Virginia,32496
2018,Washington,44090
2018,West Virginia,14127
2018,Wisconsin,26403
2018,Wyoming,4362
2018,Alabama,33193
2018,Alaska,7548
2018,Arizona,28285
2018,Arkansas,17667
2018,California,104498
2018,Colorado,41583
2018,Connecticut,14409
2018,Delaware,3674
2018,District of Columbia,289
2018,Florida,95481
2018,Georgia,39528
2018,Guam,156
2018,Hawaii,1187
2018,Idaho,18243
2018,Illinois,233963
2018,Indiana,78143
2018,Iowa,13766
2018,Kansas,11062
2018,Kentucky,395487
2018,Louisiana,20265
2018,Maine,6847
2018,Mariana Islands,13
2018,Maryland,11990
2018,Massachusetts,18574
2018,Michigan,35563
2018,Minnesota,47533
2018,Mississippi,15999
2018,Missouri,31607
2018,Montana,8952
2018,Nebraska,5165
2018,Nevada,10327
2018,New Hampshire,9875
2018,New Jersey,8037
2018,New Mexico,11432
2018,New York,25621
2018,North Carolina,43211
2018,North Dakota,4539
2018,Ohio,51734
2018,Oklahoma,21697
2018,Oregon,28305
2018,Pennsylvania,75296
2018,Puerto Rico,2616
2018,Rhode Island,1887
2018,South Carolina,17103
2018,South Dakota,5720
2018,Tennessee,50613
2018,Texas,111159
2018,Utah,31638
2018,Vermont,2818
2018,Virgin Islands,136
2018,Virginia,32135
2018,Washington,46008
2018,West Virginia,17108
2018,Wisconsin,28841
2018,Wyoming,4820
2018,Alabama,34915
2018,Alaska,7367
2018,Arizona,31658
2018,Arkansas,18240
2018,California,121478
2018,Colorado,47462
2018,Connecticut,15269
2018,Delaware,4988
2018,District of Columbia,321
2018,Florida,102426
2018,Georgia,43671
2018,Guam,155
2018,Hawaii,1393
2018,Idaho,16974
2018,Illinois,238774
2018,Indiana,78367
2018,Iowa,17457
2018,Kansas,13184
2018,Kentucky,409485
2018,Louisiana,22491
2018,Maine,8745
2018,Mariana Islands,22
2018,Maryland,14105
2018,Massachusetts,17983
2018,Michigan,44190
2018,Minnesota,64410
2018,Mississippi,17470
2018,Missouri,38859
2018,Montana,9795
2018,Nebraska,6643
2018,Nevada,11470
2018,New Hampshire,11372
2018,New Jersey,8958
2018,New Mexico,12859
2018,New York,33326
2018,North Carolina,47770
2018,North Dakota,5793
2018,Ohio,65456
2018,Oklahoma,25345
2018,Oregon,32494
2018,Pennsylvania,91401
2018,Puerto Rico,2224
2018,Rhode Island,2332
2018,South Carolina,19286
2018,South Dakota,7040
2018,Tennessee,53166
2018,Texas,114704
2018,Utah,29213
2018,Vermont,5081
2018,Virgin Islands,133
2018,Virginia,37720
2018,Washington,51693
2018,West Virginia,22379
2018,Wisconsin,41542
2018,Wyoming,5065
2018,Alabama,50610
2018,Alaska,7800
2018,Arizona,41551
2018,Arkansas,24492
2018,California,136228
2018,Colorado,61839
2018,Connecticut,18091
2018,Delaware,6298
2018,District of Columbia,381
2018,Florida,137997
2018,Georgia,67791
2018,Guam,146
2018,Hawaii,1420
2018,Idaho,24342
2018,Illinois,271714
2018,Indiana,121376
2018,Iowa,21697
2018,Kansas,18772
2018,Kentucky,421247
2018,Louisiana,31519
2018,Maine,10684
2018,Mariana Islands,25
